,winner,num_moves,first_player.id,first_player.depth,first_player.times,first_player.num_nodes_gen,second_player.id,second_player.depth,second_player.times,second_player.num_nodes_gen
0,1,7,PlayerBFMM,1,"[0.000547, 0.000444, 0.000456, 0.000334]",28,PlayerBFMM,1,"[0.000445, 0.000461, 0.000463]",21
1,2,14,PlayerBFMM,1,"[0.0005, 0.000441, 0.000451, 0.000464, 0.000482, 0.000502, 0.000583]",49,PlayerBFMM,2,"[0.001881, 0.001767, 0.003533, 0.002172, 0.00274, 0.002281, 0.000454]",182
2,2,14,PlayerBFMM,1,"[0.00044, 0.00053, 0.000454, 0.000468, 0.000488, 0.000537, 0.00075]",49,PlayerBFMM,3,"[0.00219, 0.002519, 0.003617, 0.003348, 0.003192, 0.004464, 0.000525]",262
3,2,12,PlayerBFMM,1,"[0.000458, 0.000478, 0.000823, 0.000486, 0.000554, 0.000514]",42,PlayerBFMM,4,"[0.019011, 0.002654, 0.002996, 0.002032, 0.004065, 0.000428]",414
4,2,24,PlayerBFMM,1,"[0.000428, 0.000468, 0.00053, 0.00046, 0.000531, 0.000891, 0.000483, 0.000477, 0.0005, 0.000521, 0.00053, 0.0005]",71,PlayerBFMM,5,"[0.019446, 0.006956, 0.016209, 0.005513, 0.005196, 0.003972, 0.016127, 0.002668, 0.003816, 0.005512, 0.007161, 0.000348]",1018
5,2,12,PlayerBFMM,1,"[0.000463, 0.000465, 0.000474, 0.000492, 0.000533, 0.000502]",42,PlayerBFMM,6,"[0.028478, 0.006455, 0.021119, 0.054529, 0.026058, 0.000388]",1755
6,2,10,PlayerBFMM,1,"[0.000613, 0.000456, 0.000562, 0.000468, 0.000489]",35,PlayerBFMM,7,"[0.077603, 0.01104, 0.045478, 0.022235, 0.000381]",2098
7,1,7,PlayerBFMM,2,"[0.000751, 0.000761, 0.001064, 0.000333]",51,PlayerBFMM,1,"[0.000438, 0.000448, 0.000462]",21
8,2,34,PlayerBFMM,2,"[0.000743, 0.001147, 0.000781, 0.00106, 0.001782, 0.006174, 0.001457, 0.001373, 0.002493, 0.001869, 0.000924, 0.002154, 0.001782, 0.000695, 0.001624, 0.001405, 0.001056]",345,PlayerBFMM,2,"[0.001698, 0.002944, 0.002735, 0.002117, 0.002271, 0.00263, 0.004218, 0.002162, 0.003413, 0.001933, 0.000887, 0.000953, 0.001254, 0.000869, 0.000719, 0.001463, 0.000467]",346
9,2,34,PlayerBFMM,2,"[0.000744, 0.001036, 0.000784, 0.000948, 0.001646, 0.005798, 0.001101, 0.001242, 0.002062, 0.001855, 0.000922, 0.00238, 0.001726, 0.000796, 0.001706, 0.001625, 0.001185]",345,PlayerBFMM,3,"[0.002354, 0.003323, 0.003226, 0.003108, 0.007459, 0.002641, 0.004485, 0.003572, 0.004276, 0.002282, 0.0026, 0.002266, 0.001697, 0.002203, 0.001941, 0.002229, 0.000308]",589
10,2,40,PlayerBFMM,2,"[0.000862, 0.001016, 0.003751, 0.001215, 0.00307, 0.001949, 0.002939, 0.003202, 0.001626, 0.001503, 0.001608, 0.001843, 0.001501, 0.001845, 0.001424, 0.001173, 0.001538, 0.001326, 0.001354, 0.001245]",373,PlayerBFMM,4,"[0.020333, 0.008997, 0.025855, 0.023554, 0.003869, 0.004665, 0.021056, 0.015922, 0.008521, 0.016223, 0.003753, 0.002978, 0.003507, 0.004932, 0.003846, 0.004938, 0.004767, 0.002955, 0.001939, 0.000295]",1984
11,2,40,PlayerBFMM,2,"[0.000744, 0.000909, 0.003493, 0.000801, 0.002691, 0.001991, 0.002897, 0.002992, 0.001649, 0.001605, 0.001546, 0.0018, 0.001452, 0.001871, 0.001449, 0.001261, 0.001343, 0.001334, 0.001386, 0.001445]",373,PlayerBFMM,5,"[0.019012, 0.009483, 0.02562, 0.028353, 0.006296, 0.007624, 0.029601, 0.016467, 0.012999, 0.019275, 0.02095, 0.011123, 0.004401, 0.005411, 0.005146, 0.005595, 0.005763, 0.005199, 0.001966, 0.000327]",2614
12,2,26,PlayerBFMM,2,"[0.000715, 0.000926, 0.002731, 0.001284, 0.000845, 0.00097, 0.001365, 0.002241, 0.001241, 0.001163, 0.001423, 0.001744, 0.001618]",223,PlayerBFMM,6,"[0.028198, 0.017499, 0.010257, 0.010095, 0.010514, 0.01, 0.005146, 0.006658, 0.041816, 0.014783, 0.004162, 0.001887, 0.000323]",1769
13,2,26,PlayerBFMM,2,"[0.000777, 0.00101, 0.003268, 0.003187, 0.002747, 0.002336, 0.002651, 0.001859, 0.002901, 0.002233, 0.002475, 0.003189, 0.002191]",345,PlayerBFMM,7,"[0.076734, 0.097537, 0.042909, 0.020808, 0.049039, 0.041495, 0.243952, 0.085603, 0.020496, 0.020678, 0.191468, 0.003021, 0.000492]",9765
14,1,7,PlayerBFMM,3,"[0.001938, 0.003524, 0.004217, 0.000334]",142,PlayerBFMM,1,"[0.000444, 0.00045, 0.000469]",21
15,2,34,PlayerBFMM,3,"[0.001951, 0.003541, 0.003078, 0.002444, 0.00366, 0.007877, 0.00513, 0.003441, 0.005015, 0.003633, 0.001264, 0.002804, 0.002571, 0.001416, 0.001864, 0.002611, 0.001216]",598,PlayerBFMM,2,"[0.001586, 0.003049, 0.002714, 0.002009, 0.002263, 0.002192, 0.004884, 0.002545, 0.00419, 0.002287, 0.000902, 0.00091, 0.001171, 0.001038, 0.00082, 0.001447, 0.000264]",346
16,2,34,PlayerBFMM,3,"[0.002436, 0.004241, 0.003498, 0.002552, 0.003584, 0.007891, 0.004264, 0.002831, 0.004693, 0.003338, 0.001326, 0.002615, 0.00253, 0.00119, 0.001874, 0.002436, 0.00108]",598,PlayerBFMM,3,"[0.002602, 0.00356, 0.003523, 0.003283, 0.008004, 0.002772, 0.004625, 0.003672, 0.004485, 0.002403, 0.002611, 0.002083, 0.001528, 0.002017, 0.00181, 0.002017, 0.000281]",589
17,2,40,PlayerBFMM,3,"[0.001987, 0.002241, 0.005118, 0.001201, 0.004401, 0.003353, 0.004375, 0.004614, 0.004115, 0.004112, 0.003895, 0.003026, 0.002889, 0.002874, 0.002529, 0.001892, 0.00245, 0.002759, 0.00222, 0.001296]",569,PlayerBFMM,4,"[0.018673, 0.008054, 0.02517, 0.027252, 0.004203, 0.00549, 0.025482, 0.019112, 0.009966, 0.017927, 0.004378, 0.003667, 0.004066, 0.005283, 0.004003, 0.005431, 0.005277, 0.003344, 0.002449, 0.00031]",1984
18,2,40,PlayerBFMM,3,"[0.002799, 0.002862, 0.00618, 0.001226, 0.004183, 0.003417, 0.004191, 0.003985, 0.003404, 0.003745, 0.003053, 0.002242, 0.002933, 0.002628, 0.002077, 0.001518, 0.002328, 0.002273, 0.00223, 0.001248]",568,PlayerBFMM,5,"[0.020801, 0.010499, 0.028104, 0.031558, 0.007233, 0.008385, 0.031233, 0.017183, 0.013247, 0.020211, 0.022314, 0.011433, 0.004516, 0.006196, 0.004705, 0.00598, 0.005704, 0.005061, 0.001893, 0.00046]",2614
19,2,26,PlayerBFMM,3,"[0.002314, 0.003162, 0.003795, 0.003438, 0.004132, 0.002745, 0.002561, 0.002655, 0.001641, 0.002631, 0.002108, 0.002614, 0.001821]",379,PlayerBFMM,6,"[0.02931, 0.019122, 0.010747, 0.010438, 0.010509, 0.010999, 0.005553, 0.007066, 0.049152, 0.015733, 0.004738, 0.002207, 0.000364]",1769
20,2,26,PlayerBFMM,3,"[0.002708, 0.004776, 0.006398, 0.005061, 0.006467, 0.003794, 0.004375, 0.004346, 0.00711, 0.004513, 0.003685, 0.004283, 0.002755]",609,PlayerBFMM,7,"[0.08725, 0.108035, 0.050289, 0.024986, 0.052299, 0.041162, 0.263821, 0.099934, 0.024446, 0.022102, 0.233471, 0.002872, 0.000487]",9765
21,1,7,PlayerBFMM,4,"[0.002756, 0.00439, 0.007228, 0.000487]",177,PlayerBFMM,1,"[0.000496, 0.000659, 0.000637]",21
22,GameResult.TIE,42,PlayerBFMM,4,"[0.002973, 0.004723, 0.004403, 0.004455, 0.033133, 0.009166, 0.005195, 0.004804, 0.006776, 0.004085, 0.006091, 0.008004, 0.002852, 0.002855, 0.003034, 0.006761, 0.004035, 0.003135, 0.00246, 0.002802, 0.000515]",1278,PlayerBFMM,2,"[0.00199, 0.004085, 0.003528, 0.002633, 0.002455, 0.00256, 0.004167, 0.002171, 0.003606, 0.002106, 0.000949, 0.00107, 0.001246, 0.000932, 0.000773, 0.00124, 0.001847, 0.001651, 0.000866, 0.001372, 0.000244]",381
23,GameResult.TIE,42,PlayerBFMM,4,"[0.003084, 0.004234, 0.004224, 0.003894, 0.030571, 0.009707, 0.005687, 0.005037, 0.006639, 0.004265, 0.005812, 0.008225, 0.003217, 0.002414, 0.002901, 0.006754, 0.004253, 0.003044, 0.003063, 0.002755, 0.000501]",1278,PlayerBFMM,3,"[0.002442, 0.003565, 0.003973, 0.003596, 0.008362, 0.00319, 0.005124, 0.004568, 0.005202, 0.002404, 0.00287, 0.002051, 0.001529, 0.002271, 0.002172, 0.002343, 0.002883, 0.001894, 0.002015, 0.001485, 0.000238]",648
24,GameResult.TIE,42,PlayerBFMM,4,"[0.002874, 0.002758, 0.0068, 0.002443, 0.009072, 0.005432, 0.007394, 0.013043, 0.024388, 0.00573, 0.013482, 0.005183, 0.016692, 0.005899, 0.007795, 0.009927, 0.006626, 0.004973, 0.001541, 0.001016, 0.000449]",1519,PlayerBFMM,4,"[0.021003, 0.009581, 0.029075, 0.025722, 0.00399, 0.005382, 0.021814, 0.017898, 0.014005, 0.004706, 0.006923, 0.005256, 0.005337, 0.01202, 0.00677, 0.00683, 0.006445, 0.003899, 0.001097, 0.000831, 0.000258]",2175
